TICKER;PRECO;DY;P/VP;LIQUIDEZ MEDIA DIARIA;PERCENTUAL EM CAIXA;CAGR DIVIDENDOS 3 ANOS; CAGR VALOR CORA 3 ANOS;PATRIMONIO;N COTISTAS;GESTAO
RBVA11;98,69;10,15;0,94;866.082,60;1,52;-1,84;;1.214.799.658,16;43.235,00;Ativa;
SNFF11;87,77;5,07;0,94;659.889,50;1,83;;;233.091.678,77;30.474,00;Ativa;
TFOF11;138,00;0,00;1,14;;13,36;29,98;2,01;103.080.374,68;3.278,00;Ativa;
BTSG11;0,00;0,00;;;0,68;;;103.256.536,54;52,00;Ativa;
VTRT11;0,00;0,00;;;20,14;;;1.030.654.046,20;499,00;Ativa;
BRCR11;70,50;8,01;0,67;2.004.461,65;1,57;-29,06;-11,73;2.820.482.616,00;132.531,00;Ativa;
BPML11;69,47;4,43;0,52;53.399,40;3,70;;;577.659.734,25;1.353,00;Passiva;
BBPO11;93,84;11,48;0,98;1.185.372,45;4,78;-1,65;-12,48;1.525.488.938,32;65.386,00;Passiva;
BBFO11;72,56;8,75;0,82;168.148,03;1,59;;;355.097.150,19;4.023,00;Passiva;
CJFI11;0,00;0,00;;;0,45;;;100.346.227,09;1,00;Ativa;
BLMG11;92,88;10,31;0,98;757.377,48;0,64;;;361.286.958,60;5.088,00;Ativa;
BLUR11;0,00;0,00;;;100,08;;;8.981.780,30;3,00;Ativa;
ERPA11;129,92;0,00;1,13;129,00;0,63;;;57.489.158,57;12,00;Passiva;
CJCT11;68,89;0,00;1,06;231.760,71;3,92;;7,41;186.084.028,74;1.404,00;Passiva;
PRTS11;117,70;0,00;1.681,43;;100,43;;;3.752.804,34;10,00;Ativa;
GESE11B;1.520,00;7,52;0,91;;1,34;;;86.417.369,89;55,00;Passiva;
EDFO11B;215,00;7,14;1,11;5.118,69;1,53;-6,34;-8,97;45.622.746,90;568,00;Passiva;
RMAI11;40,00;3,45;0,37;14.760,54;0,37;;;264.341.611,33;1.135,00;Ativa;
DOMC11;439,00;0,00;4,06;;0,37;;-6,09;264.341.611,33;1.135,00;Ativa;
ROOF11;1.002,00;0,00;1,04;10.600,80;19,85;;;74.906.889,97;38,00;Ativa;
FCFL11;111,94;7,39;1,07;405.951,10;1,33;5,96;2,98;363.922.446,39;4.359,00;Passiva;
BICR11;94,33;4,83;0,95;2.330,50;22,77;;;49.891.050,21;552,00;Ativa;
MTOF11;0,00;0,00;;;0,73;;;184.579.264,17;3,00;Ativa;
CVBI11;102,90;12,41;1,03;4.034.150,63;4,62;;;1.051.732.082,10;51.268,00;Ativa;
HABT11;111,42;15,48;1,14;2.901.891,13;11,18;;;724.348.467,47;45.155,00;Ativa;
LUGG11;86,80;6,50;0,69;20.138,33;0,70;;;112.474.520,83;4.200,00;Ativa;
VIDS11;0,00;0,00;;;10,05;;;56.543.693,51;712,00;Ativa;
NVHO11;11,93;6,81;0,94;2.330,03;1,23;5,01;-24,75;527.758.066,30;2.464,00;Ativa;
BLCP11;82,23;7,79;0,84;269.310,42;1,65;;;225.883.475,41;302,00;Ativa;
XPSF11;79,47;10,22;0,88;707.840,30;1,29;;;388.991.107,07;21.263,00;Ativa;
SNCI11;103,59;4,18;1,02;1.339.517,35;3,18;;;163.841.678,80;8.973,00;Ativa;
ARFI11B;479,99;0,00;1,26;;2,59;;;43.511.201,93;28,00;Ativa;
ONEF11;141,78;5,95;0,81;48.854,93;1,06;1,21;-0,79;159.164.173,48;3.932,00;Passiva;
RRCI11;85,71;10,05;0,88;108.751,53;2,78;;;46.976.706,81;2.066,00;Ativa;
BPFF11;68,69;9,13;0,86;356.204,05;3,50;-8,57;-10,53;358.945.822,37;20.639,00;Ativa;
SPVJ11;0,00;0,00;;;12,11;;;680.058.871,43;28,00;Ativa;
BZLI11;17,00;0,00;1,56;15.814,89;0,05;;6,81;432.739.853,66;323,00;Ativa;
SFRO11;0,00;0,00;;;23,62;;;12.499.077,04;14,00;Passiva;
MALL11;96,59;6,13;0,88;1.365.921,10;1,99;-0,50;-2,77;829.494.517,66;91.113,00;Ativa;
SFND11;83,07;5,12;7,11;;36,45;116,69;;11.466.451,36;54,00;Passiva;
XTED11;6,27;0,00;0,44;3.553,13;0,40;;-29,38;27.341.371,70;4.588,00;Ativa;
CXTL11;309,97;5,56;0,45;8.484,33;0,59;13,50;-16,68;37.044.254,22;676,00;Passiva;
MGLG11;49,99;6,39;0,52;172.063,28;0,34;;;111.873.871,51;1.188,00;Ativa;
WPLZ11;71,74;1,70;0,70;16.122,05;1,46;4,36;-0,13;104.862.073,94;1.884,00;Passiva;
FIGS11;54,96;5,04;0,55;188.035,98;4,38;-24,26;-2,50;284.138.014,47;16.637,00;Passiva;
RBFF11;55,40;9,30;0,82;286.693,65;1,10;-11,20;;253.219.830,88;22.134,00;Ativa;
BTRA11;100,30;4,00;0,97;639.110,63;25,00;;;347.627.495,51;8.624,00;Ativa;
VIUR11;76,01;6,21;0,79;324.468,13;12,78;;;260.808.926,19;3.783,00;Ativa;
MFAI11;74,98;10,94;0,91;32.109,23;0,16;;;24.864.912,55;3.728,00;Ativa;
KFOF11;76,02;8,52;0,79;543.588,40;1,94;2,40;;434.162.955,34;7.817,00;Ativa;
APTO11;10,10;0,31;1,03;56.313,07;28,52;;;39.476.292,41;64,00;Ativa;
PATB11;0,00;0,00;;;4,66;;;557.934.973,13;58,00;Ativa;
RBHG11;88,94;10,69;0,93;370.272,58;6,80;;;165.363.721,21;5.262,00;Ativa;
